Reference, Quantity, Value, Footprint, Datasheet
2A1 2A2 ,2,"Fuse_Small","Fuse:Fuseholder_TR5_Littelfuse_No560_No460","~"
C1 C2 ,2,"220pF","Capacitor_THT:C_Rect_L7.2mm_W4.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2","~"
C3 C4 C5 C6 C7 C8 C9 C10 C11 C12 C13 C14 C15 C16 C17 C18 C19 C20 C21 C22 C23 C24 ,22,"100nF","Capacitor_THT:C_Rect_L7.2mm_W2.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2","~"
C25 ,1,"220uF/16v","Capacitor_THT:CP_Radial_D10.0mm_P5.00mm","~"
D1 ,1,"MUR240","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","~"
D2 ,1,"LED","LED_THT:LED_D5.0mm","~"
D3 ,1,"1N4001","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88503/1n4001.pdf"
F1 ,1,"1,1A PTC","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","~"
J1 ,1,"Screw_Terminal_01x02","TerminalBlock:TerminalBlock_bornier-2_P5.08mm","~"
J2 ,1,"Screw_Terminal_01x04","TerminalBlock:TerminalBlock_bornier-4_P5.08mm","~"
JP1 JP2 ,2,"Jumper_NC_Dual","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~"
K1 ,1,"FINDER-30.22","Relay_THT:Relay_DPDT_Finder_30.22","http://gfinder.findernet.com/assets/Series/354/S30EN.pdf"
Q1 Q2 ,2,"2N2222","Package_TO_SOT_THT:TO-18-3","http://www.b-kainka.de/Daten/Transistor/BC108.pdf"
R1 ,1,"2,2M","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
R2 R3 ,2,"33K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
R4 ,1,"10k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
RN1 RN3 ,2,"R_Network04","Resistor_THT:R_Array_SIP5","http://www.vishay.com/docs/31509/csc.pdf"
RN2 RN4 ,2,"R_Network08","Resistor_THT:R_Array_SIP9","http://www.vishay.com/docs/31509/csc.pdf"
SW1 SW3 ,2,"SW_DIP_x04","Package_DIP:DIP-8_W7.62mm_Socket","~"
SW2 SW4 ,2,"SW_DIP_x08","Package_DIP:DIP-16_W7.62mm_Socket","~"
U13 U14 U15 U16 U17 U18 ,6,"4071","Package_DIP:DIP-14_W7.62mm_Socket","http://www.intersil.com/content/dam/Intersil/documents/cd40/cd4011bms-12bms-23bms.pdf"
U3 U8 U11 ,3,"4012","Package_DIP:DIP-14_W7.62mm_Socket","http://www.intersil.com/content/dam/Intersil/documents/cd40/cd4011bms-12bms-23bms.pdf"
U4 ,1,"4013","Package_DIP:DIP-14_W7.62mm_Socket","http://www.intersil.com/content/dam/Intersil/documents/cd40/cd4011bms-12bms-23bms.pdf"
U1 U5 U9 ,3,"4011","Package_DIP:DIP-14_W7.62mm_Socket","http://www.intersil.com/content/dam/Intersil/documents/cd40/cd4011bms-12bms-23bms.pdf"
U2 U6 U10 ,3,"4040","Package_DIP:DIP-16_W7.62mm_Socket","http://www.intersil.com/content/dam/Intersil/documents/cd40/cd4011bms-12bms-23bms.pdf"
U7 U12 ,2,"4068","Package_DIP:DIP-14_W7.62mm_Socket","http://www.intersil.com/content/dam/Intersil/documents/cd40/cd4011bms-12bms-23bms.pdf"
Y1 ,1,"32,768 kHz","Crystal:Crystal_C26-LF_D2.1mm_L6.5mm_Vertical","~"